id,ground_truth
RU91,Warranty and Product Support
XL37,Returns and Exchanges
OJ95,Shipping and Delivery
YR96,Returns and Exchanges
XZ39,Returns and Exchanges
HH59,Returns and Exchanges
IG79,Order and Payment
QV90,Warranty and Product Support
TD43,Account Management
JN62,Account Management
RH04,Account Management
AK23,Order and Payment
ZS09,Shipping and Delivery
GU39,Returns and Exchanges
OH91,Warranty and Product Support
IB58,Account Management
JU40,Returns and Exchanges
RH37,Shipping and Delivery
NI19,Account Management
OC25,Order and Payment
GW48,Returns and Exchanges
TN62,Warranty and Product Support
KP59,Order and Payment
KB23,Warranty and Product Support
DR23,Returns and Exchanges
IH81,Account Management
VZ10,Returns and Exchanges
QW08,Warranty and Product Support
XZ51,Account Management
ZI50,Shipping and Delivery
TR30,Order and Payment
DJ87,Returns and Exchanges
MI16,Warranty and Product Support
GR70,Order and Payment
LV17,Warranty and Product Support
ZP58,Account Management
CO18,Shipping and Delivery
HM60,Shipping and Delivery
NQ67,Order and Payment
SC68,Account Management
KI47,Returns and Exchanges
CA33,Returns and Exchanges
QK95,Account Management
BT71,Warranty and Product Support
UF01,Order and Payment
BC81,Account Management
DV36,Warranty and Product Support
UW82,Order and Payment
WC52,Shipping and Delivery
IP22,Account Management
KC46,Order and Payment
PR33,Order and Payment
BL44,Account Management
JA38,Warranty and Product Support
JD34,Account Management
JS75,Returns and Exchanges
KI33,Account Management
YR97,Returns and Exchanges
NK41,Order and Payment
CG12,Warranty and Product Support
RB35,Returns and Exchanges
GI10,Warranty and Product Support
XB06,Returns and Exchanges
UI97,Returns and Exchanges
LU58,Returns and Exchanges
HZ43,Shipping and Delivery
GS74,Returns and Exchanges
FD95,Shipping and Delivery
NE98,Shipping and Delivery
NI84,Warranty and Product Support
CE28,Shipping and Delivery
JK11,Returns and Exchanges
US01,Returns and Exchanges
YD85,Returns and Exchanges
ZJ67,Warranty and Product Support
WM34,Returns and Exchanges
PN99,Shipping and Delivery
LP64,Order and Payment
ER30,Warranty and Product Support
BC62,Returns and Exchanges
UM61,Shipping and Delivery
HS06,Warranty and Product Support
PT61,Order and Payment
YJ93,Shipping and Delivery
SI65,Order and Payment
HP46,Returns and Exchanges
LP24,Order and Payment
VD49,Account Management
LY56,Order and Payment
BO55,Warranty and Product Support
WP54,Warranty and Product Support
HB47,Shipping and Delivery
CF85,Warranty and Product Support
RV60,Warranty and Product Support
IK46,Order and Payment
KQ16,Shipping and Delivery
VW10,Shipping and Delivery
SF57,Account Management
HW85,Warranty and Product Support
RY14,Returns and Exchanges
JS23,Order and Payment
OU82,Order and Payment
GY81,Warranty and Product Support
BF21,Returns and Exchanges
SH90,Account Management
LO72,Returns and Exchanges
SX21,Order and Payment
ER27,Shipping and Delivery
LR33,Returns and Exchanges
DF21,Returns and Exchanges
